Sta3n|LabChemTestName|LabChemTestSID|Topography|TopographySID|LOINC|Units|Mean|std|Min|Max|Perc_05|Perc_25|Median|Perc_75|Perc_95|Count
402|WBC|1400000015|SYNOVIAL FLUID|1400002102|814-4|WBC/uL|7148.463|17566.4629|30.0|88200.0|36.5|100.0|405.0|6412.5|21000.0|27
402|WBC|1400000015|SYNOVIAL FLUID|1400002102|814-4|#/cmm|8379.5107|18969.7668|1.0|125500.0|12.0|98.0|425.0|7862.25|34505.0|84
402|WBC|1400000015|SCROTUM|1400188161|||10.0|20.0|0.0|40.0|0.0|0.0|0.0|10.0|34.0|4
402|WBC|1400000015|ABDOMINAL WALL|1400229374|||315000.0||315000.0|315000.0|315000.0|315000.0|315000.0|315000.0|315000.0|1
402|WBC|1400000015|KNEE JOINT|1400089690|||605.0|548.703|15.0|1100.0|83.5|357.5|700.0|900.0|1060.0|3
402|WBC|1400000015|LEFT ELBOW|1400035992|||5625.0||5625.0|5625.0|5625.0|5625.0|5625.0|5625.0|5625.0|1
402|WBC|1400000015|PLEURAL FLUID|1400002067|26467-1|#/cmm|9883.7791|67027.0739|45.0|622000.0|115.0|471.0|1050.0|2350.0|10375.0|86
402|WBC/HPF|1400074839|URINE|1400001920|5821-4|/HPF|40.3989|392.9693|0.0|51196.0|1.0|1.0|3.0|11.0|126.0|80880
436|WBC|800000115|ANKLE JOINT|800087299|||8365.0|8345.0539|3425.0|18000.0|3449.5|3547.5|3670.0|10835.0|16567.0|3
436|WBC|800000115|PERITONEAL CYTOLOGIC MATERIAL|800193579|6690-2||288.0||288.0|288.0|288.0|288.0|288.0|288.0|288.0|1
436|WBC|800000115|LIVER|800016015|||73900.0||73900.0|73900.0|73900.0|73900.0|73900.0|73900.0|73900.0|1
436|WBC|800000115|LEFT PLEURA|800119517|6690-2||279.0||279.0|279.0|279.0|279.0|279.0|279.0|279.0|1
436|WBC|800000115|BLOOD|800000683|6690-2|K/cmm|7.6132|5.0313|0.0|436.2|4.1|5.7|6.9|8.5|12.6|517379
436|WBC|800000115|PLEURAL FLUID|800000897||#/cmm|841.9182|866.4513|3.3|4120.0|70.4|397.0|592.0|928.0|2498.0|33
436|WBC|800000115|SHOULDER|800277722|||239000.0||239000.0|239000.0|239000.0|239000.0|239000.0|239000.0|239000.0|1
436|WBC|800000115|BURSA|800025521|6690-2||43536.6|78588.717|155.0|243000.0|268.4|2089.75|9672.5|27475.0|186750.0|10
436|WBC|800000115|CHEST WALL|800270200|6690-2||61512.0|81865.9947|3624.0|119400.0|9412.8|32568.0|61512.0|90456.0|113611.2|2
436|WBC|800000115|CEREBROSPINAL FLUID|800000816||#/cmm|31.2188|183.2205|0.0|1160.0|0.0|0.0|0.0|1.4375|12.995|40
436|WBC|800000115|PLEURAL CAVITY|800024504|6690-2||59337.3333|135398.3895|766.0|335500.0|777.0|933.25|2099.0|11786.25|255312.5|6
436|WBC|800000115|KNEE JOINT|800080521|6690-2||12318.6315|28982.7123|0.0|205000.0|13.55|162.5|1112.5|11637.5|39690.0|92
436|WBC|800000115|SYNOVIAL FLUID|800000935|26469-7|#/cmm|19549.5813|36778.3221|1.0|145200.0|23.725|310.75|4350.0|19875.0|72799.5|16
436|WBC|800000115|LUNG AND PLEURA, CS|800126821|6690-2||510.0||510.0|510.0|510.0|510.0|510.0|510.0|510.0|1
436|WBC|800000115|SHOULDER|800277722|6690-2||28327.5|39785.363|195.0|56460.0|3008.25|14261.25|28327.5|42393.75|53646.75|2
436|WBC|800000115|ELBOW|800023146|6690-2||4379.0|8414.4765|66.0|17000.0|80.85|140.25|225.0|4463.75|14492.75|4
436|WBC|800000115|PLEURAL FLUID|800000897|808-6|#/cmm|2986.3964|8995.5282|0.0|94000.0|16.8|355.0|840.0|1823.5|9829.2|279
436|WBC|800000115|PLEURA|800027190|6690-2||1201.6833|1566.4113|3.1|4154.0|68.825|278.75|537.5|1473.5|3543.5|6
436|WBC|800000115|ELBOW|800023146|||20937.0|21978.7824|2498.0|51750.0|3368.3|6849.5|14750.0|28837.5|47167.5|4
436|WBC|800000115|THORAX|800018382|6690-2||713.0||713.0|713.0|713.0|713.0|713.0|713.0|713.0|1
436|WBC|800000115|HIP|800027095|||141000.0||141000.0|141000.0|141000.0|141000.0|141000.0|141000.0|141000.0|1
436|WESTERGREN*|800008346|BLOOD|800000683|4537-7|MM/HR|19.2834|21.8909|0.0|152.0|1.0|4.0|11.0|26.0|68.0|34938
437|WBC|1000002358|PLEURAL FLUID|1000000771|808-6|#/cmm|2860.0735|5660.9884|14.0|37636.0|122.55|397.75|1085.0|2657.75|11778.0|238
437|WBC|1000002358|BLOOD|1000000579|6690-2|K/UL|8.2|0.5568|7.6|8.7|7.67|7.95|8.3|8.5|8.66|3
437|WESTERGREN|1000088470|BLOOD|1000000579|4537-7|mm/hr|22.8993|25.0286|0.0|155.0|0.0|5.0|14.0|31.0|78.0|43635
442|WBC|800009350|SYNOVIAL FLUID|800000936|6690-2|#/cmm|3792.5|5165.6116|11.0|17500.0|18.65|237.5|750.0|6200.0|14775.0|24
442|WBC|800009350|ELBOW|800028360|||5543.5|6479.2194|962.0|10125.0|1420.15|3252.75|5543.5|7834.25|9666.85|2
442|WBC|800009350|PERITONEAL CAVITY|800028805|6690-2||235.0||235.0|235.0|235.0|235.0|235.0|235.0|235.0|1
442|WBC|800009350|SPINAL CANAL|800053515|||4.0||4.0|4.0|4.0|4.0|4.0|4.0|4.0|1
442|WBC|800009350|JOINT OF LOWER EXTREMITY|800082514|||230.0||230.0|230.0|230.0|230.0|230.0|230.0|230.0|1
442|WBC|800009350|HIP JOINT|800086864|||1102.0|239.0021|933.0|1271.0|949.9|1017.5|1102.0|1186.5|1254.1|2
442|WBC|800009350|RIGHT LEG|800274118|||5710.0||5710.0|5710.0|5710.0|5710.0|5710.0|5710.0|5710.0|1
442|WBC|800009350|ABDOMEN, PERITONEUM AND RETROPERITONEUM|800275344|||293.4286|65.5766|179.0|350.0|201.8|255.0|320.0|347.5|349.4|7
442|WBC|800009350|LUNG|800000197||mm3|316.0||316.0|316.0|316.0|316.0|316.0|316.0|316.0|1
442|WBC|800009350|CEREBROSPINAL FLUID|800000817|806-0|mm3|1.5|0.7071|1.0|2.0|1.05|1.25|1.5|1.75|1.95|2
442|WBC|800009350|PERITONEAL FLUID|800000866|6690-2|#/cmm|466.0588|831.6327|6.0|2650.0|8.4|52.0|93.0|300.0|2402.0|17
442|WBC|800009350|PLEURAL FLUID|800000898|808-6|#/cmm|5141.8871|24731.6515|8.0|218500.0|76.9|302.5|715.0|1808.75|11690.0|155
442|WBC|800009350|THORAX|800013708|||4521.6667|7775.4655|29.0|13500.0|29.7|32.5|36.0|6768.0|12153.6|3
442|WBC|800009350|RIGHT KNEE|800048943|||141.0||141.0|141.0|141.0|141.0|141.0|141.0|141.0|1
442|WBC|800009350|PAROTID GLAND|800172631|||34978.0||34978.0|34978.0|34978.0|34978.0|34978.0|34978.0|34978.0|1
442|WBC|800009350|ABDOMEN|800012351|||2606.5625|11811.5107|8.0|67185.0|43.35|208.75|294.0|556.0|3137.3|32
442|WBC|800009350|RIGHT ELBOW|800027880|||2247.0|1418.4562|1244.0|3250.0|1344.3|1745.5|2247.0|2748.5|3149.7|2
442|WBC|800009350|PERITONEAL CAVITY|800028805|||290.0||290.0|290.0|290.0|290.0|290.0|290.0|290.0|1
442|WBC|800009350|KNEE JOINT|800088350|||11335.5714|12874.8395|567.0|27843.0|630.3|1036.0|1686.0|23590.5|26690.1|7
442|WBC|800009350|BRONCHIAL WASHINGS|800272078||MM3|1300.0||1300.0|1300.0|1300.0|1300.0|1300.0|1300.0|1300.0|1
442|WBC|800009350|ABDOMINAL WALL|800278489|6690-2||130.0||130.0|130.0|130.0|130.0|130.0|130.0|130.0|1
442|WBC|800009350|ABDOMEN|800012351|6690-2||109.0|154.1493|0.0|218.0|10.9|54.5|109.0|163.5|207.1|2
442|WBC|800009350|WRIST|800028445|||18737.0||18737.0|18737.0|18737.0|18737.0|18737.0|18737.0|18737.0|1
442|WBC|800009350|KNEE|800030074|||190.0|205.061|45.0|335.0|59.5|117.5|190.0|262.5|320.5|2
442|WBC|800009350|BURSA|800030710|||3768.0|4654.1768|477.0|7059.0|806.1|2122.5|3768.0|5413.5|6729.9|2
442|WBC|800009350|SYNOVIAL JOINT|800074392|||5281.0|581.2418|4870.0|5692.0|4911.1|5075.5|5281.0|5486.5|5650.9|2
442|WBC|800009350|ANKLE JOINT|800082830|||91.0||91.0|91.0|91.0|91.0|91.0|91.0|91.0|1
442|WBC|800009350|BRONCHIAL WASHINGS|800272078|||2660.7333|6828.136|7.2|20850.0|17.12|309.4|383.0|506.0|12944.8|9
442|WBC|800009350|BLOOD|800000684||K/cmm|8.4178|4.4561|0.0|48.0|3.4|5.7|7.5|10.1|16.56|549
442|WBC|800009350|BLOOD|800000684|6690-2|K/cmm|7.8131|4.3655|0.0|267.0|4.1|5.7|7.1|8.9|13.4|288548
442|WBC|800009350|SERUM|800000750|6690-2||6.1||6.1|6.1|6.1|6.1|6.1|6.1|6.1|1
442|WBC|800009350|PLASMA|800000784|26464-8|K/cmm|10.4571|9.1998|5.0|30.8|5.03|5.5|6.8|9.8|24.65|7
442|WBC|800009350|PLASMA|800000784|6690-2||4470.1667|7733.4625|5.2|13400.0|5.21|5.25|5.3|6702.65|12060.53|3
442|WBC|800009350|UNKNOWN|800001584||MM3|146.0||146.0|146.0|146.0|146.0|146.0|146.0|146.0|1
442|ZZHEMOG A1C (DC'D 2013)|800003312|BLOOD|800000684||% |7.111|1.599|3.4|68.0|5.3|6.1|6.8|7.7|9.9|14595
459|WBC|800005103|SERUM|800000751|6690-2||6.8313|2.16|3.8|16.3|4.2|5.4|6.3|8.025|10.445|112
459|WBC|800005103|VEIN|800005124|6690-2||4.9||4.9|4.9|4.9|4.9|4.9|4.9|4.9|1
459|WBC|800005103|BLOOD|800000685||K/uL|6.9873|3.0313|0.8|100.9|3.6|5.4|6.6|8.1|11.3|35196
459|WBC|800005103|BLOOD|800000685|6690-2|K/uL|7.0558|3.6312|0.6|375.9|3.9|5.5|6.7|8.2|11.1|176544
459|WBC|800005103|ANTECUBITAL REGION|800251756|6690-2||7.6111|2.7485|4.4|16.2|4.66|5.5|7.2|8.95|12.45|27
459|WBC|800005103|BLOOD|800000685|6690-2||6.896|2.7135|1.0|65.7|4.0|5.4|6.5|8.0|10.8|2235
460|WBC|1400566135|PERICARDIAL FLUID|1400002582|14811-4|#/cmm|385.0||385.0|385.0|385.0|385.0|385.0|385.0|385.0|1
463|WBC|800002268|BLOOD|800000686|26464-8|K/CUMM.|6.9539|3.1131|1.1|174.6|4.0|5.4|6.5|8.0|11.0|12283
463|WBC|800002268|BLOOD|800000686|6690-2|K/CMM|7.4926|8.1092|0.7|380.0|4.0|5.5|6.7|8.3|11.5|22565
463|WBC|800002268|BLOOD|800000686|6690-2|K/CUMM|5.05|0.9192|4.4|5.7|4.465|4.725|5.05|5.375|5.635|2
463|WBC|800002268|BLOOD|800000686|26464-8|x10E3/uL|7.1347|5.0456|0.4|284.7|4.0|5.4|6.6|8.0|11.0|19812
501|WBC|800009097|WHOLE BLOOD|800001441|||7.5669|2.8695|2.79|11.8|3.408|5.9|6.75|10.07|11.338|13
501|WBC|800009097|SERUM|800000753|6690-2||12.0714|7.1302|4.0|22.8|4.39|6.25|10.8|17.2|21.33|7
501|WBC|800009097|KNEE|800032413|6690-2||42180.0|33881.7285|18222.0|66138.0|20617.8|30201.0|42180.0|54159.0|63742.2|2
501|WBC|800009097|SEMINAL FLUID|800000553|812-8|#/hpf|20.9583|176.8684|0.0|1941.0|0.0|1.0|3.0|5.0|20.0|120
503|WBC|1400000078|SYNOVIAL FLUID|1400002105||#/cmm|14093.1389|35113.5186|2.0|163000.0|17.5|91.5|556.0|7137.5|73875.0|36
503|WBC|1400000078|SERUM|1400001950|||11.1|0.9899|10.4|11.8|10.47|10.75|11.1|11.45|11.73|2
503|WBC|1400000078|BLOOD|1400001896||10*3/uL|9.42|3.5061|6.3|18.7|6.66|7.35|8.8|9.6|15.01|10
503|WBC|1400000078|PLEURAL FLUID|1400002070|808-6|MM3|1417.3143|1165.9874|67.0|4440.0|274.0|435.0|1100.0|2095.0|3768.0|35
503|WBC|1400000078|BLOOD|1400001896||K/cmm|6.05|0.0707|6.0|6.1|6.005|6.025|6.05|6.075|6.095|2
503|WBC|1400000078|BLOOD|1400001896|6690-2|K/cmm|7.6732|9.1195|0.2|1020.0|4.2|5.6|6.9|8.4|12.6|138540
503|WBC|1400000078|RIGHT KNEE|1400018028|||13276.6667|11214.929|330.0|20000.0|2247.0|9915.0|19500.0|19750.0|19950.0|3
503|WBC|1400000078|PLEURAL FLUID|1400002070||#/cmm|4791.25|13852.58|12.0|56500.0|129.0|278.0|1028.0|2520.5|17725.0|16
503|WBC|1400000078|PERITONEAL FLUID|1400002043||#/cmm|399.0|695.3433|22.0|2200.0|33.2|50.0|113.0|278.0|1542.0|9
503|WBC|1400000078|SYNOVIAL FLUID|1400002105||MM3|2092.3333|4430.526|56.0|11125.0|83.75|185.5|253.0|591.25|8518.75|6
503|WBC|1400000078|CEREBROSPINAL FLUID|1400002004|806-0|MM3|20.0|14.2361|4.0|32.0|5.2|10.0|22.0|32.0|32.0|4
504|WBC|800013038|PERIADRENAL TISSUE|800236586|810-2||8000.0||8000.0|8000.0|8000.0|8000.0|8000.0|8000.0|8000.0|1
508|WBC|1200002636|BLOOD|1200001008|6690-2|K/cmm|7.5545|6.344|0.0|726.0|3.49|5.24|6.7|8.62|13.53|1925059
509|WBC|1200045460|BRONCHIAL WASHING MATERIAL|1200001618|26466-3|#/cmm|800.5909|1469.6069|7.0|7000.0|10.7|94.5|357.5|875.0|1680.0|22
512|WBC|1400000181|SYNOVIAL FLUID|1400002106|814-4|#/cmm|20449.847|43174.8989|0.0|650000.0|35.0|360.0|5000.0|25000.0|81000.0|921
512|WBC|1400000181|RIGHT MIDDLE LOBE OF LUNG, LATERAL SEGMENT|1400051310|6690-2||125.0||125.0|125.0|125.0|125.0|125.0|125.0|125.0|1
512|WBC|1400000181|NECK|1400005008|26499-4||11500.0||11500.0|11500.0|11500.0|11500.0|11500.0|11500.0|11500.0|1
515|WBC|1200023986|BLOOD|1200001010|6690-2|x10(9)/L|7.8667|2.6591|4.2|12.3|4.875|6.925|7.7|8.4|11.325|6
516|WBC|1200002069|BLOOD|1200001011|6690-2|K/uL|7.5638|5.9878|0.1|526.6|3.9|5.5|6.8|8.5|13.1|96970
517|WBC|1200004212|PLEURAL FLUID|1200001279|6743-9|#/cmm|483.319|1041.3709|0.6|4502.0|0.6|2.0|41.0|482.0|1667.0|21
518|WBC|1400051005|BLOOD|1400001898|6690-2|K/cmm|7.2678|3.7861|0.4|440.0|4.06|5.57|6.8|8.3|11.7|256670
519|WBC|800011189|PERITONEAL FLUID|800000871|810-2|#/cmm|745.0259|1328.1073|0.2|4300.0|0.23|41.0|200.0|500.0|4000.0|27
521|WBC|1200073179|BLOOD|1200001013|26464-8|Thous./cmm|8.4148|4.8711|0.2|453.2|4.1|5.9|7.4|9.7|15.8|87336
523|WBC|1400027965|BLOOD (QUEST)|1400002486||K/uL|7.4|0.1414|7.3|7.5|7.31|7.35|7.4|7.45|7.49|2
523|WBC|1400027965|BLOOD (QUEST)|1400002486|6690-2|1000/UL|8.375|4.7359|5.1|15.4|5.265|5.925|6.5|8.95|14.11|4
523|WBC|1400027965|PLASMA|1400001980|26466-3||8.0||8.0|8.0|8.0|8.0|8.0|8.0|8.0|1
523|WBC|1400027965|BLOOD (METROWEST)|1400232819|26466-3|K/MM3|8.1||8.1|8.1|8.1|8.1|8.1|8.1|8.1|1
523|WBC|1400027965|BLOOD (QUEST)|1400002486|6690-2|K/uL|6.2607|1.1199|4.7|9.4|4.975|5.475|5.95|6.725|8.725|56
523|WBC|1400027965|BLOOD (QUINCY)|1400002492|6690-2|10(3)/UL|41.7||41.7|41.7|41.7|41.7|41.7|41.7|41.7|1
526|WBC|1400050345|KNEE|1400017191|||40000.0||40000.0|40000.0|40000.0|40000.0|40000.0|40000.0|40000.0|1
526|WBC|1400050345|SEMINAL FLUID|1400001799|||5.86|11.3291|0.0|26.0|0.0|0.0|0.3|3.0|21.4|5
526|WBC|1400050345|PLEURA|1400017581|6690-2||1050.0||1050.0|1050.0|1050.0|1050.0|1050.0|1050.0|1050.0|1
526|WBC|1400050345|BLOOD|1400001900|6690-2|K/cmm|8.127|7.1471|0.0|973.3|3.6|5.5|7.1|9.3|15.2|590056
526|WBC|1400050345|SERUM|1400001954|||10.175|2.1172|7.8|12.9|8.07|9.15|10.0|11.025|12.525|4
526|WBC|1400050345|SERUM|1400001954|6690-2||10.8||10.8|10.8|10.8|10.8|10.8|10.8|10.8|1
526|WBC|1400050345|PLASMA|1400001981|||7.512|2.9061|1.8|18.3|3.9|5.6|6.9|8.8|13.44|183
526|WBC|1400050345|BLOOD|1400001900|6690-2||11.525|2.3599|8.5|13.4|8.845|10.225|12.1|13.4|13.4|4
526|WBC|1400050345|BRONCHIAL BRUSHING CYTOLOGIC MATERIAL|1400001363|6690-2||157.25|186.3909|1.0|375.0|1.3|2.5|126.5|281.25|356.25|4
526|WBC|1400050345|CEREBROSPINAL FLUID|1400002008|806-0|#/cmm|19.2901|88.0657|0.0|886.0|0.0|1.0|2.0|4.0|64.85|324
526|WBC|1400050345|SYNOVIAL JOINT|1400056388|||20000.0||20000.0|20000.0|20000.0|20000.0|20000.0|20000.0|20000.0|1
526|WBC|1400050345|VEIN|1400011860|||9.325|4.7031|2.3|20.1|3.63|6.575|8.95|10.55|17.155|20
526|WBC|1400050345|PERITONEAL FLUID|1400002047||#/cmm|5506.078|32728.5091|0.0|250000.0|0.0|1.8|50.0|142.5|12360.0|59
526|WBC (MAN)|1400018744|BLOOD|1400001900|804-5|K/uL|59.0329|863.2808|0.9|16000.0|3.7|7.65|12.0|15.3|24.08|343
529|WBC|1400060361|BLOOD|1400001902|6690-2|K/cu mm|7.0514|4.1769|0.6|401.2|4.1|5.5|6.6|8.0|11.0|62455
529|WBC|1400060361|BLOOD|1400001902||k/cmm|8.5571|3.5486|5.7|15.8|5.7|6.5|7.3|9.05|14.15|7
529|WBC|1400060361|SERUM|1400001956|6690-2||6.4||6.4|6.4|6.4|6.4|6.4|6.4|6.4|1
531|WBC|800031799|BLOOD|800000690|6690-2|K/uL|8.3061|6.943|0.0|791.4|4.2|6.0|7.4|9.4|14.4|619179
534|WBC|1200006076|SKIN OF KNEE|1200349902|||900.0||900.0|900.0|900.0|900.0|900.0|900.0|900.0|1
534|WBC|1200006076|BLOOD|1200001014|6690-2|10E3/uL|4.8||4.8|4.8|4.8|4.8|4.8|4.8|4.8|1
534|WBC|1200006076|PERICARDIAL FLUID|1200002028|6690-2||5023.4286|11114.1943|170.0|30200.0|176.0|425.0|1100.0|1422.0|21573.2|7
534|WBC|1200006076|BRONCHUS AND ALVEOLUS, CS|1200000526|6690-2||846.8444|2345.967|0.0|20000.0|18.2|100.0|214.0|600.0|2390.0|143
534|WBC|1200006076|UNKNOWN|1200002098|6690-2||1000.0||1000.0|1000.0|1000.0|1000.0|1000.0|1000.0|1000.0|1
534|WBC|1200006076|ARM, ANTERIOR SURFACE|1200339926|||12000.0||12000.0|12000.0|12000.0|12000.0|12000.0|12000.0|12000.0|1
534|WBC|1200006076|PAROTID GLAND|1200235573|||243.0||243.0|243.0|243.0|243.0|243.0|243.0|243.0|1
534|WBC|1200006076|CEREBROSPINAL FLUID|1200001178|806-0|#/mm3|1043.5648|23069.9384|0.0|769000.0|0.0|0.0|2.0|18.0|600.0|1140
534|WBC|1200006076|BRONCHIAL WASHING CYTOLOGIC MATERIAL|1200000085|6690-2||1867.3488|5718.0143|4.0|27200.0|15.4|120.0|250.0|836.0|5100.0|43
534|WBC|1200006076|SCALP|1200335677|6690-2||40.0||40.0|40.0|40.0|40.0|40.0|40.0|40.0|1
534|WBC|1200006076|PANCREATIC FLUID|1200000211|6690-2||778.0||778.0|778.0|778.0|778.0|778.0|778.0|778.0|1
534|WBC|1200006076|SYNOVIAL FLUID|1200001334|814-4|#/mm3|20897.1287|45039.356|0.0|656183.0|72.0|500.0|5100.0|21950.0|88400.0|637
534|WBC|1200006076|STERNAL MUSCLE|1200137591|||86200.0||86200.0|86200.0|86200.0|86200.0|86200.0|86200.0|86200.0|1
534|WBC|1200006076|ARM, POSTERIOR SURFACE|1200339920|||120.0||120.0|120.0|120.0|120.0|120.0|120.0|120.0|1
534|WBC|1200006076|INGUINAL REGION|1200041467|||1350.0||1350.0|1350.0|1350.0|1350.0|1350.0|1350.0|1350.0|1
534|WBC|1200006076|BLOOD|1200001014|6690-2|k/cumm|10.43||10.43|10.43|10.43|10.43|10.43|10.43|10.43|1
534|WBC|1200006076|THIGH|1200345044|6690-2||34500.0||34500.0|34500.0|34500.0|34500.0|34500.0|34500.0|34500.0|1
534|WBC|1200006076|HAND|1200043962|6690-2||61900.0||61900.0|61900.0|61900.0|61900.0|61900.0|61900.0|61900.0|1
534|WBC|1200006076|LEG|1200343120|||31573.5|43972.8494|480.0|62667.0|3589.35|16026.75|31573.5|47120.25|59557.65|2
534|WBC|1200006076|BLOOD|1200001014|6690-2|6.2|6.2||6.2|6.2|6.2|6.2|6.2|6.2|6.2|1
537|WBC|1000017509|ASPIRATE|1000001185|||122000.0||122000.0|122000.0|122000.0|122000.0|122000.0|122000.0|122000.0|1
537|WBC|1000017509|RIGHT KNEE|1000075952|||1924.0||1924.0|1924.0|1924.0|1924.0|1924.0|1924.0|1924.0|1
537|WBC|1000017509|KNEE|1000049352|||760.0||760.0|760.0|760.0|760.0|760.0|760.0|760.0|1
537|WBC|1000017509|BURSA|1000059371|||95750.0||95750.0|95750.0|95750.0|95750.0|95750.0|95750.0|95750.0|1
537|WBC|1000017509|PLEURAL FLUID|1000000775|808-6|#/ul|4870.8179|25747.1555|0.0|300000.0|81.85|293.25|726.5|2080.0|9724.9|758
537|WBC|1000017509|SERUM|1000000640|||5.584|1.682|2.8|7.2|3.32|5.4|6.2|6.32|7.024|5
537|WBC|1000017509|PLASMA|1000000669|||5.8|0.2828|5.6|6.0|5.62|5.7|5.8|5.9|5.98|2
537|WBC|1000017509|FECES|1000000097|13349-6|#/FIELD|0.0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|1
537|WBC|1000017509|PERICARDIAL FLUID|1000001318|14811-4|#/cmm|7568.0769|27703.9243|50.0|143000.0|123.5|263.25|1200.0|3860.0|7102.5|26
537|WBC|1000017509|BLOOD|1000000583|26464-8|thous./mm3|6.5046|1.992|2.16|15.4|3.851|5.1325|6.125|7.565|10.5|562
537|WBC|1000017509|PERICARDIAL FLUID|1000001318|14811-4|#/ul|1988.4286|2790.9688|38.0|11033.0|72.0|155.0|584.0|3783.0|5222.0|21
537|WBC|1000017509|SYNOVIAL FLUID|1000000809|814-4|#/cmm|15067.8129|28892.9285|0.0|258000.0|50.0|373.0|2975.0|17500.0|65006.0|767
537|WBC|1000017509|PLEURAL CAVITY|1000047780|||240.0||240.0|240.0|240.0|240.0|240.0|240.0|240.0|1
537|WBC|1000017509|URINE|1000000611|||6.2||6.2|6.2|6.2|6.2|6.2|6.2|6.2|1
537|WBC|1000017509|CEREBROSPINAL FLUID|1000000698|806-0|#/cmm|54.8041|561.0078|0.0|8355.0|0.0|0.0|1.0|3.0|40.9|455
537|WBC|1000017509|BLOOD|1000000583||K/uL|9.1569|10.554|0.2|369.5|3.402|5.7|7.6|10.3|17.4|3582
537|WBC|1000017509|BRONCHIAL WASHING CYTOLOGIC MATERIAL|1000000048|14810-6|#/cmm|570.0|516.0588|35.0|1110.0|65.0|185.0|567.5|952.5|1078.5|4
537|WBC|1000017509|BLOOD|1000000583|6690-2||8.375|1.5903|6.1|9.8|6.49|8.05|8.8|9.125|9.665|4
537|WBC|1000017509|PERITONEAL FLUID|1000000746|810-2|#/ul|2277.6174|13224.7886|0.0|197160.0|41.0|94.75|196.0|437.5|5957.35|988
537|WBC|1000017509|BLOOD|1000000583|6690-2|thous./mm3|6.7309|2.0944|2.36|19.5|4.0|5.31|6.4|7.6725|10.6|1916
538|WBC|1200015924|BLOOD|1200001015|6690-2|K/CMM|7.9228|5.3873|0.1|677.5|4.2|5.9|7.2|9.0|13.2|359206
538|WBC|1200015924|SERUM|1200001097|805-2||5.9||5.9|5.9|5.9|5.9|5.9|5.9|5.9|1
539|WBC|1200016857|PLEURAL FLUID|1200001283|808-6|#/cmm|3153.8967|12798.2355|0.0|165200.0|40.0|205.5|620.0|1536.75|8968.75|1042
540|WBC|1400030272|CEREBROSPINAL FLUID|1400002011||#/cmm|7.275|12.5101|0.0|26.0|0.165|0.825|1.55|8.0|22.4|4
540|WBC|1400030272|KNEE JOINT|1400043091|6690-2||1.4||1.4|1.4|1.4|1.4|1.4|1.4|1.4|1
540|WBC|1400030272|SYNOVIAL FLUID|1400002112|14822-1|K/cmm|205.2172|1252.1849|0.0|11250.0|0.232|0.7225|6.95|23.15|67.63|124
540|WBC|1400030272|SERUM|1400001957|6690-2||8.3||8.3|8.3|8.3|8.3|8.3|8.3|8.3|1
